SURVEY_YEAR,ABUNDANCE_IMMATURE_MALE,CV_ABUNDANCE_IMMATURE_MALE,CI_ABUNDANCE_IMMATURE_MALE,ABUNDANCE_MATURE_MALE,CV_ABUNDANCE_MATURE_MALE,CI_ABUNDANCE_MATURE_MALE,ABUNDANCE_LEGAL,CV_ABUNDANCE_LEGAL,CI_ABUNDANCE_LEGAL,ABUNDANCE_P3,CV_ABUNDANCE_P3,CI_ABUNDANCE_P3,ABUNDANCE_P2,CV_ABUNDANCE_P2,CI_ABUNDANCE_P2,ABUNDANCE_P1,CV_ABUNDANCE_P1,CI_ABUNDANCE_P1,ABUNDANCE_MALE_GE105,CV_ABUNDANCE_MALE_GE105,CI_ABUNDANCE_MALE_GE105,ABUNDANCE_RECRUIT,CV_ABUNDANCE_RECRUIT,CI_ABUNDANCE_RECRUIT,ABUNDANCE_POSTRECRUIT,CV_ABUNDANCE_POSTRECRUIT,CI_ABUNDANCE_POSTRECRUIT,ABUNDANCE_MALE_TOTAL,CV_ABUNDANCE_MALE_TOTAL,CI_ABUNDANCE_MALE_TOTAL,ABUNDANCE_IMMATURE_FEMALE,CV_ABUNDANCE_IMMATURE_FEMALE,CI_ABUNDANCE_IMMATURE_FEMALE,ABUNDANCE_MATURE_FEMALE,CV_ABUNDANCE_MATURE_FEMALE,CI_ABUNDANCE_MATURE_FEMALE,ABUNDANCE_FEMALE_TOTAL,CV_ABUNDANCE_FEMALE_TOTAL,CI_ABUNDANCE_FEMALE_TOTAL
1985,0,0,0,16823,0.999981252,32972.46181,16823,0.999981252,32972.46181,0,0,0,0,0,0,0,0,0,16823,0.999981252,32972.46181,0,0,0,16823,0.999981252,32972.46181,16823,0.999981252,32972.46181,0,0,0,0,0,0,0,0,0
1986,0,0,0,38419,0.698667036,52610.49419,38419,0.698667036,52610.49419,0,0,0,0,0,0,0,0,0,38419,0.698667036,52610.49419,0,0,0,38419,0.698667036,52610.49419,38419,0.698667036,52610.49419,0,0,0,39775,1.000000742,77959.05783,39775,1.000000742,77959.05783
1987,0,0,0,18611,0.999997455,36477.46717,18611,0.999997455,36477.46717,0,0,0,0,0,0,0,0,0,18611,0.999997455,36477.46717,0,0,0,18611,0.999997455,36477.46717,18611,0.999997455,36477.46717,0,0,0,36832,1.000002354,72190.88997,36832,1.000002354,72190.88997
1988,1897586,0.763673585,2840307.153,66189,0.999996927,129730.0414,22063,0.999996928,43243.34714,1505107,0.944497613,2786277.14,392479,0.736054,566216.0459,44126,0.999996927,86486.69425,458668,0.704786457,633595.4692,22063,0.999996928,43243.34714,0,0,0,1963775,0.740750844,2851149.258,1594114,1.000000071,3124463.661,444124,0.90515456,787921.693,2038238,0.801289794,3201109.842
1989,1089082,0.7807789,1666651.202,754994,0.934803003,1383310.491,364768,0.867999179,620571.916,910412,0.86542078,1544263.347,178670,0.844683642,295802.4677,390226,0.999999537,764842.6058,933664,0.915844189,1675977.868,122924,0.7884673,189966.2466,241844,0.923371687,437691.3287,1844076,0.6930552,2504971.063,960414,1.000000407,1882412.207,1961030,0.682406295,2622909.664,2921445,0.736501737,4217232.662
1990,5736963,0.860051321,9670801.91,617113,0.928790001,1123410.032,47760,0.999995934,93609.21937,663482,0.629871996,819101.1144,5073480,0.896150823,8911342.424,569353,0.92296548,1029966.603,5690593,0.899450343,10032075.42,47760,0.999995934,93609.21937,0,0,0,6354076,0.866500295,10791385.11,78911,0.999993973,154664.6279,2407063,0.670952481,3165448.787,2485974,0.67918639,3309341.826
1991,665275,0.761777757,993311.726,2435400,0.793248979,3786481.983,555815,0.789877741,860490.7575,201866,0.631899047,250015.5088,463409,0.936691085,850779.3145,1879586,0.797025345,2936232.253,2898809,0.815508978,4633449.339,402278,0.783251704,617566.4606,153537,0.825151283,248314.8549,3100675,0.784921964,4770224.307,288005,0.656157205,370394.0497,4340739,0.593899766,5052809.198,4628745,0.578275931,5246315.975
1992,410436,0.891017064,716782.7404,1451102,0.63579906,1808314.203,992239,0.559357236,1087831.487,361714,0.876939881,621714.8073,48722,0.99999641,95494.77715,458863,0.902772664,811927.9868,1499824,0.644783118,1895439.941,432671,0.699217393,592960.9334,559568,0.546419686,599287.5827,1861538,0.679202992,2478149.871,51924,0.69924624,71163.01709,2834356,0.927857921,5154564.145,2886281,0.919464075,5201510.113
1993,255577,1.000001721,500931.7823,3532420,0.921155876,6377662.5,3149054,0.911655629,5626871.5,0,0,0,255577,1.000001721,500931.7823,383366,1.000000417,751397.6734,3787997,0.926431062,6878263.443,433654,0.744570792,632856.7602,2715400,0.940221636,5004032.55,3787997,0.926431062,6878263.443,46589,0.999996142,91314.08775,4541644,0.718984927,6400132.219,4588233,0.716873455,6446797.589
1994,555506,0.74565649,811864.6423,3114248,0.756983155,4620569.219,2456469,0.723316464,3482536.763,161392,0.794854646,251435.0347,394114,0.872832311,674231.0493,657780,0.894671961,1153454.752,3508363,0.768658757,5285598.53,484580,0.71638138,680402.4148,1971889,0.729963054,2821235.99,3669755,0.747006621,5373009.313,18955,1.000010434,37152.18766,3198456,0.712170186,4464576.207,3217411,0.713500966,4499426.679
1995,594924,0.549521907,640770.5908,7098444,0.424217966,5902123.449,5990343,0.430419118,5053581.981,158078,0.760865058,235741.0123,436846,0.537104701,459878.7984,1108101,0.452754413,983327.3309,7535290,0.420909711,6216486.399,1151238,0.43936844,991402.582,4839106,0.44156735,4188110.781,7693368,0.418703376,6313628.737,109212,0.704188357,150735.4049,5272465,0.507794099,5247560.163,5381677,0.502264217,5297926.618
1996,128183,0.62075493,155957.6492,555428,0.37071972,403579.9004,537312,0.368448486,388024.7142,109970,0.669451412,144294.3607,18213,0.99999898,35697.44357,18116,0.999983499,35506.77408,573641,0.361084698,405980.6548,18116,0.999983499,35506.77408,519197,0.368696047,375194.7277,683611,0.366153378,490600.6944,0,0,0,1115369,0.747962162,1635137.464,1115369,0.747962162,1635137.464
1997,1600700,0.854415992,2680620.809,1554857,0.569252111,1734807.035,1423129,0.599443346,1672047.01,609780,0.904562133,1081104.439,990920,0.824230739,1600823.579,131727,0.535278588,138200.8594,2545776,0.519114567,2590236.837,171419,0.787325721,264526.6719,1251710,0.6723443,1649496.964,3155556,0.561912208,3475365.064,19037,0.999980687,37311.79939,1294166,0.568044763,1440882.668,1313203,0.570417529,1468185.06
1998,419355,0.56118887,461261.2227,772660,0.375252321,568287.2178,443225,0.373154259,324166.9409,131350,0.776154776,199817.9424,288004,0.493368297,278500.4045,329435,0.442706672,285852.4221,1060665,0.397925083,827247.8071,119509,0.535702661,125481.7271,323716,0.433119811,274807.3128,1192015,0.420545054,982540.184,19361,1.000023719,37948.46006,1088302,0.739181008,1576726.252,1107663,0.743354407,1613836.899
1999,7163822,0.965473264,13556298.07,1939076,0.584158877,2220147.78,1298816,0.598908955,1524630.166,6934433,0.99096519,13468692.17,229389,0.821922014,369538.143,640260,0.565406478,709534.017,2168465,0.605261397,2572476.784,498134,0.428997466,418848.5183,800681,0.766187253,1202404.289,9102898,0.788644516,14070743.15,6927688,0.994496081,13503534.79,3428797,0.843716388,5670147.15,10356485,0.941465733,19110540.46
2000,135564,0.706218647,187646.1364,1538502,0.389243455,1173749.595,1257450,0.38339963,944927.4939,0,0,0,135564,0.706218647,187646.1364,281052,0.470978239,259443.9771,1674067,0.40174357,1318189.478,242808,0.504749305,240212.0517,1014643,0.374799427,745363.7261,1674067,0.40174357,1318189.478,19201,1.000005742,37634.1761,682971,0.633668542,848243.3854,702172,0.640263478,881167.1708
2001,2495026,0.993303501,4857503.399,3662559,0.845314491,6068187.825,1941204,0.73763151,2806510.747,1070714,0.984463492,2065994.532,1424312,1.000000053,2791651.667,1721355,0.977576715,3298202.871,5086871,0.887308322,8846701.024,629710,0.969084159,1196074.292,1311493,0.644968425,1657908.285,6157584,0.903731053,10907007.75,0,0,0,4396450,0.995276798,8576341.966,4396450,0.995276798,8576341.966
2002,18967,1.000012128,37175.77086,1891296,0.669319003,2481125.494,1874608,0.675548209,2482120.631,18967,1.000012128,37175.77086,0,0,0,16688,1.000008478,32708.7573,1891296,0.669319003,2481125.494,118802,0.999998985,232851.6836,1755806,0.691949798,2381262.031,1910263,0.67131748,2513490.168,0,0,0,449324,0.487585014,429403.9517,449324,0.487585014,429403.9517
2003,35298,0.699632551,48403.43436,1470902,0.677632251,1953592.04,1417824,0.668785622,1858511.8,35298,0.699632551,48403.43436,0,0,0,53078,1.000007265,104033.6358,1470902,0.677632251,1953592.04,132696,0.999999729,260084.0896,1285128,0.645380079,1625616.181,1506201,0.661516864,1952899.629,39263,0.700393159,53899.09173,1200944,0.912626623,2148186.395,1240207,0.883145041,2146754.016
2004,1384924,0.988012916,2681912.688,811871,0.59529607,947275.0873,811871,0.59529607,947275.0873,1384924,0.988012916,2681912.688,0,0,0,0,0,0,811871,0.59529607,947275.0873,0,0,0,811871,0.59529607,947275.0873,2196795,0.826478165,3558582.075,1119791,0.999999786,2194789.891,548806,0.535354281,575859.0573,1668597,0.766536813,2506920.411
2005,55258,1.000003799,108306.0915,247739,0.590199227,286582.118,247739,0.590199227,286582.118,36839,0.999994751,72204.061,18419,1.000021896,36102.03047,0,0,0,266159,0.559621048,291938.43,0,0,0,247739,0.590199227,286582.118,302997,0.530470652,315032.7914,0,0,0,1326134,0.783237301,2035808.126,1326134,0.783237301,2035808.126
2006,89135,0.706194148,123375.3662,1370143,0.378411518,1016216.67,1203601,0.376805443,888905.8788,16941,1.000014899,33204.85471,72193,0.700404386,99106.01597,166542,0.66502745,217079.803,1442336,0.373998886,1057286.833,52736,0.999994917,103362.0347,1150865,0.371612931,838245.5801,1459278,0.369892698,1057961.502,0,0,0,886275,0.575698881,1000045.951,886275,0.575698881,1000045.951
2007,245522,0.84522991,406744.1743,1637966,0.422537781,1356520.937,1499453,0.402762724,1183690.598,126329,0.741971539,183715.7443,119194,0.999996531,233619.4295,138514,0.754657342,204879.9898,1757160,0.450088508,1550119.945,316092,0.72130512,446877.605,1183361,0.366395437,849813.0178,1883489,0.466429696,1721889.797,14832,0.999985424,29070.29627,1663348,0.527090836,1718401.555,1678180,0.522125916,1717393.689
2008,416152,0.956174426,779911.2431,1305315,0.464528971,1188459.001,1085326,0.478094647,1017021.559,289420,1.00000057,567263.5235,126732,0.864803558,214812.6377,219989,0.680950309,293611.0921,1432047,0.470220696,1319821.15,203891,0.548444036,219172.6939,881434,0.520138421,898596.6696,1721467,0.518248387,1748609.091,73524,0.776979085,111968.1561,1665433,0.736956514,2405609.327,1738957,0.738110407,2515742.829
2009,35590,0.999989675,69755.67977,887543,0.689826213,1200010.835,669818,0.663596402,871198.0765,0,0,0,35590,0.999989675,69755.67977,217725,0.775414485,330901.1526,923133,0.699845592,1266259.099,321479,0.781597056,492483.3985,348339,0.580961472,396648.2149,923133,0.699845592,1266259.099,0,0,0,316023,0.564613431,349724.4272,316023,0.564613431,349724.4272
2010,31865,0.648980297,40532.32402,895960,0.378704715,665036.3815,760887,0.330753691,493265.7208,9184,0.661352233,11904.76345,22681,0.841591979,37412.76946,135073,0.729232729,193059.3187,918641,0.371398222,668716.0032,149443,0.401962097,117738.0265,611444,0.364782331,437166.1763,927825,0.369418768,671801.6974,0,0,0,272325,0.421452408,224953.1731,272325,0.421452408,224953.1731
2011,36361,1.00000622,71268.00325,1015866,0.632378266,1259126.695,961416,0.634298569,1195256.595,0,0,0,36361,1.00000622,71268.00325,54451,0.738377912,78802.61471,1052228,0.627932233,1295026.641,54268,1.000000353,106365.3175,907148,0.620722471,1103650.81,1052228,0.627932233,1295026.641,18181,0.999978718,35634.00164,451258,0.721680495,638301.6294,469439,0.73018586,671844.3309
2012,363216,0.90478203,644117.3669,1246228,0.594181797,1451352.546,1169149,0.575274846,1318260.741,112709,0.746197396,164842.198,250507,1.000000079,490993.7586,77079,1.000001077,151075.0027,1496735,0.648534918,1902542.423,154158,1.000001077,302150.0053,1014991,0.536120877,1066549.416,1609444,0.654799779,2065572.609,0,0,0,443441,0.539406653,468822.2503,443441,0.539406653,468822.2503
2013,91674,0.837226706,150433.7653,1739703,0.590606753,2013861.467,1626576,0.603757188,1924831.626,0,0,0,91674,0.837226706,150433.7653,113127,1.000003002,221729.5856,1831377,0.580484769,2083649.453,18855,0.999976484,36954.93096,1607721,0.606794809,1912091.243,1831377,0.580484769,2083649.453,0,0,0,80878,0.58308967,92431.88764,80878,0.58308967,92431.88764
2014,74303,0.781557111,113821.1945,2962505,0.717198005,4164417.246,2574868,0.765584461,3863706.705,0,0,0,74303,0.781557111,113821.1945,387637,0.99999919,759767.9049,3036807,0.713804536,4248665.761,277350,0.932555403,506942.7126,2297518,0.821671417,3700097.548,3036807,0.713804536,4248665.761,0,0,0,494209,0.918810953,890005.8986,494209,0.918810953,890005.8986
